"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"CD19"	""	"C3AR1"	"CSF2RB"	"C3AR1"	"LINC01140"	"KANK2"	"DYSF"	"CD3E"	"CD3G"	"CD96"	"IL2RA"	"CCR1"	"CD4"	"CD37"	"GUCA1A"	"CLDN14"	"DCN"
"CD22"	""	"CARD9"	"DPEP2"	"C5AR1"	"MPO"	"KLRD1"	"FAM65B"	"CD3G"	"CD48"	"CTLA4"	"KCNA2"	"CD163"	"CD52"	"CD4"	"HAND2"	"CLEC14A"	"DDX19A"
"CD37"	""	"CCL17"	"DRP2"	"CCL18"	"NTRK1"	"KLRF1"	"FPR1"	"CD4"	"CD8A"	"CXCR6"	"LTB"	"CD300C"	"CLEC4A"	"CD48"	"HEYL"	"CPA1"	"DPT"
"CD53"	""	"CCL18"	"GPR65"	"CCL19"	"P2RX1"	"LTB"	"FPR2"	"CD48"	"CD96"	"FEZ1"	"PMCH"	"CD38"	"COMMD9"	"CD93"	"IGF1"	"CSF2RB"	"ELN"
"CD72"	""	"CCL19"	"HS3ST2"	"CCL7"	"PRG2"	"MRC2"	"HCK"	"CD52"	"CILP"	"GPR68"	"SIT1"	"CD40"	"FCGR3A"	"CEACAM4"	"IRF4"	"EDN1"	"EMILIN1"
"CD79B"	""	"CCL23"	"NCF2"	"CCR1"	"PTGER3"	"SPN"	"KCNJ15"	"CD96"	"CRTAM"	"GZMK"	""	"CD48"	"FGR"	"CLEC4A"	"LEFTY2"	"EIF4E2"	"FMO2"
"CLDN14"	""	"CCL5"	"PURG"	"CD163"	"PTGS1"	"SPON2"	"LILRA1"	"CDV3"	"CXCR6"	"IL2RA"	""	"CD84"	"FTL"	"CLEC4E"	"NTRK1"	"ENTPD1"	"FTL"
"CPA2"	""	"CCL7"	"RASL12"	"CD300C"	"RENBP"	"THAP1"	"LILRA2"	"CTLA4"	"CYTH4"	"ITGAL"	""	"CLEC4E"	"GSTO1"	"CLEC5A"	"PDE6A"	"ERG"	"GDF5"
"CPB1"	""	"CCR2"	"RNASE2"	"CD48"	"SAMSN1"	"TRPV6"	"LILRB2"	"CXCR6"	"GIMAP4"	"LCP2"	""	"CMKLR1"	"GUCA1A"	"CLEC7A"	"PDIA2"	"FAM124B"	"GREM1"
"CR1"	""	"CCR5"	"SAMSN1"	"CD52"	"SIGLEC7"	""	"LST1"	"DPEP2"	"GIMAP6"	"PTPN7"	""	"CSF1R"	"HAMP"	"COMMD9"	"PHOX2A"	"FOXD3"	"HAND2"
"EGOT"	""	"CD163"	"SIGLEC8"	"CD68"	"SIGLEC8"	""	"MEFV"	"FAM65B"	"GPR65"	"SASH3"	""	"CXCL10"	"HCK"	"CSF1R"	"PNOC"	"GDF3"	"HSPB6"
"FAM65B"	""	"CD300C"	"THBS1"	"CD84"	"STAP1"	""	"MNDA"	"FCN1"	"GPR68"	"SH2D1A"	""	"CXCL11"	"HLA-DQA1"	"CSF3R"	"TNFRSF17"	"GIMAP4"	"HSPB7"
"FLT3"	""	"CD86"	""	"CD9"	"TPSAB1"	""	"NCF2"	"FNTA"	"GZMK"	"SRF"	""	"CXCL9"	"HS3ST2"	"CXCR2"	""	"GIMAP6"	"ISLR"
