"Gene"	"Cancer"
"618"	"CMC1"	"ACC"
"619"	"CMKLR1"	"ACC"
"620"	"CMPK1"	"ACC"
"621"	"CMPK2"	"ACC"
"622"	"CNDP2"	"ACC"
"623"	"CNGA1"	"ACC"
"624"	"CNIH3"	"ACC"
"625"	"CNN2"	"ACC"
"626"	"CNR2"	"ACC"
"627"	"CNRIP1"	"ACC"
"628"	"CNTN1"	"ACC"
"629"	"CNTN3"	"ACC"
"630"	"COA3"	"ACC"
"631"	"COBL"	"ACC"
"632"	"COL10A1"	"ACC"
"633"	"COL12A1"	"ACC"
"634"	"COL14A1"	"ACC"
"635"	"COL16A1"	"ACC"
"636"	"COL1A1"	"ACC"
"637"	"COL1A2"	"ACC"
"638"	"COL21A1"	"ACC"
"639"	"COL23A1"	"ACC"
"640"	"COL3A1"	"ACC"
"641"	"COL6A1"	"ACC"
"642"	"COL6A2"	"ACC"
"643"	"COL6A3"	"ACC"
"644"	"COL6A5"	"ACC"
"645"	"COL6A6"	"ACC"
"646"	"COL8A2"	"ACC"
"647"	"COLEC12"	"ACC"
"648"	"COMMD1"	"ACC"
"649"	"COMMD4"	"ACC"
"650"	"COMMD9"	"ACC"
"651"	"COPRS"	"ACC"
"652"	"COPS7A"	"ACC"
"653"	"COPZ2"	"ACC"
"654"	"COQ9"	"ACC"
"655"	"CORO1A"	"ACC"
"656"	"CORO2B"	"ACC"
"657"	"COTL1"	"ACC"
"658"	"COX14"	"ACC"
"659"	"COX4I1"	"ACC"
"660"	"COX4I2"	"ACC"
"661"	"COX5A"	"ACC"
"662"	"COX5B"	"ACC"
"663"	"COX6A1"	"ACC"
"664"	"COX6B1"	"ACC"
"665"	"COX7A1"	"ACC"
"666"	"COX7B"	"ACC"
"667"	"COX7C"	"ACC"
"668"	"CP"	"ACC"
"669"	"CPA3"	"ACC"
"670"	"CPA6"	"ACC"
"671"	"CPE"	"ACC"
"672"	"CPED1"	"ACC"
"673"	"CPM"	"ACC"
"674"	"CPNE2"	"ACC"
"675"	"CPNE4"	"ACC"
"676"	"CPNE5"	"ACC"
"677"	"CPQ"	"ACC"
"678"	"CPVL"	"ACC"
"679"	"CPXM1"	"ACC"
"680"	"CPXM2"	"ACC"
"681"	"CR1"	"ACC"
"682"	"CR2"	"ACC"
"683"	"CRACR2A"	"ACC"
"684"	"CRB1"	"ACC"
"685"	"CREB5"	"ACC"
"686"	"CREG1"	"ACC"
"687"	"CRIM1"	"ACC"
"688"	"CRIP1"	"ACC"
"689"	"CRIP2"	"ACC"
"690"	"CRISPLD2"	"ACC"
"691"	"CRLF3"	"ACC"
"692"	"CRTAM"	"ACC"
"693"	"CRYBB1"	"ACC"
"694"	"CRYBG3"	"ACC"
"695"	"CSF1"	"ACC"
"696"	"CSF1R"	"ACC"
"697"	"CSF2"	"ACC"
"698"	"CSF2RA"	"ACC"
"699"	"CSF2RB"	"ACC"
"700"	"CSF3R"	"ACC"
"701"	"CSGALNACT1"	"ACC"
"702"	"CSK"	"ACC"
"703"	"CSRNP1"	"ACC"
"704"	"CSRP1"	"ACC"
"705"	"CST3"	"ACC"
"706"	"CST7"	"ACC"
"707"	"CSTA"	"ACC"
"708"	"CTAGE15"	"ACC"
"709"	"CTAGE4"	"ACC"
"710"	"CTAGE9"	"ACC"
"711"	"CTDSPL"	"ACC"
"712"	"CTGF"	"ACC"
"713"	"CTLA4"	"ACC"
"714"	"CTNNBL1"	"ACC"
"715"	"CTNS"	"ACC"
"716"	"CTSA"	"ACC"
"717"	"CTSB"	"ACC"
"718"	"CTSC"	"ACC"
"719"	"CTSG"	"ACC"
"720"	"CTSH"	"ACC"
"721"	"CTSK"	"ACC"
"722"	"CTSL"	"ACC"
"723"	"CTSS"	"ACC"
"724"	"CTSW"	"ACC"
"725"	"CTTNBP2"	"ACC"
"726"	"CTTNBP2NL"	"ACC"
"727"	"CUTA"	"ACC"
"728"	"CX3CR1"	"ACC"
"729"	"CXCL1"	"ACC"
"730"	"CXCL10"	"ACC"
"731"	"CXCL11"	"ACC"
"732"	"CXCL12"	"ACC"
"733"	"CXCL13"	"ACC"
"734"	"CXCL16"	"ACC"
"735"	"CXCL2"	"ACC"
"736"	"CXCL5"	"ACC"
"737"	"CXCL6"	"ACC"
"738"	"CXCL9"	"ACC"
"739"	"CXCR1"	"ACC"
"740"	"CXCR2"	"ACC"
"741"	"CXCR2P1"	"ACC"
"742"	"CXCR3"	"ACC"
"743"	"CXCR6"	"ACC"
"744"	"CXORF21"	"ACC"
"745"	"CXORF36"	"ACC"
"746"	"CXORF65"	"ACC"
"747"	"CYB561D2"	"ACC"
"748"	"CYB5A"	"ACC"
"749"	"CYB5R1"	"ACC"
"750"	"CYBA"	"ACC"
"751"	"CYBB"	"ACC"
"752"	"CYBRD1"	"ACC"
"753"	"CYFIP1"	"ACC"
"754"	"CYGB"	"ACC"
"755"	"CYP1B1"	"ACC"
"756"	"CYP27A1"	"ACC"
"757"	"CYP2S1"	"ACC"
"758"	"CYP3A4"	"ACC"
"759"	"CYP4B1"	"ACC"
"760"	"CYP4F11"	"ACC"
"761"	"CYP4F12"	"ACC"
"762"	"CYP4F22"	"ACC"
"763"	"CYP4X1"	"ACC"
"764"	"CYP7B1"	"ACC"
"765"	"CYR61"	"ACC"
"766"	"CYSLTR1"	"ACC"
"767"	"CYSLTR2"	"ACC"
"768"	"CYTH4"	"ACC"
"769"	"CYTIP"	"ACC"
"770"	"CYTL1"	"ACC"
"771"	"DAPK1"	"ACC"
"772"	"DAPP1"	"ACC"
"773"	"DBH"	"ACC"
"774"	"DBNDD2"	"ACC"
"775"	"DBNL"	"ACC"
"776"	"DCANP1"	"ACC"
