"Gene_Symbol"	"Cancer"
"COL6A3"	"COAD"
"COL8A2"	"COAD"
"COMP"	"COAD"
"COX7A1"	"COAD"
"CSF1R"	"COAD"
"CXCL12"	"COAD"
"CXCL9"	"COAD"
"DCN"	"COAD"
"DDR2"	"COAD"
"DIO2"	"COAD"
"ECM2"	"COAD"
"EDIL3"	"COAD"
"EDNRA"	"COAD"
"EGFL6"	"COAD"
"EMCN"	"COAD"
"ENPP2"	"COAD"
"ERG"	"COAD"
"F13A1"	"COAD"
"FAP"	"COAD"
"FASLG"	"COAD"
"FBLN2"	"COAD"
"FCGR2A"	"COAD"
"FCGR2B"	"COAD"
"FMO1"	"COAD"
"FOXF1"	"COAD"
"FPR1"	"COAD"
"GIMAP5"	"COAD"
"GREM1"	"COAD"
"HDC"	"COAD"
"HGF"	"COAD"
"IGF1"	"COAD"
"IGSF6"	"COAD"
"IL18R1"	"COAD"
"ISLR"	"COAD"
"ITGAM"	"COAD"
"ITGBL1"	"COAD"
"ITIH3"	"COAD"
"ITIH5"	"COAD"
"ITM2A"	"COAD"
"KCNJ8"	"COAD"
"KDR"	"COAD"
"LDB2"	"COAD"
"LMOD1"	"COAD"
"LRRC15"	"COAD"
"LRRC32"	"COAD"
"LUM"	"COAD"
"LY86"	"COAD"
"MAF"	"COAD"
"MFAP5"	"COAD"
"MMP3"	"COAD"
"MS4A4A"	"COAD"
"MS4A6A"	"COAD"
"MSR1"	"COAD"
"MXRA5"	"COAD"
"NOX4"	"COAD"
"OLFML1"	"COAD"
"OLFML2B"	"COAD"
"PAPPA"	"COAD"
"PCDH12"	"COAD"
"PDE2A"	"COAD"
"PDGFRB"	"COAD"
"PIK3R5"	"COAD"
"PLXDC1"	"COAD"
"PLXNC1"	"COAD"
"PRKG1"	"COAD"
"PTGER3"	"COAD"
"PTGIS"	"COAD"
"RAMP3"	"COAD"
"RARRES2"	"COAD"
"RASGRP3"	"COAD"
"RGS4"	"COAD"
"RSAD2"	"COAD"
"RUNX1T1"	"COAD"
"SAMSN1"	"COAD"
"SCUBE2"	"COAD"
"SERPING1"	"COAD"
"SFRP4"	"COAD"
"SGCD"	"COAD"
"SH2D1A"	"COAD"
"SIGLEC1"	"COAD"
"SP140"	"COAD"
"SPON1"	"COAD"
"SPON2"	"COAD"
"SULF1"	"COAD"
"TCF21"	"COAD"
"TFEC"	"COAD"
"THBS2"	"COAD"
"TLR2"	"COAD"
"TLR7"	"COAD"
"TNFSF4"	"COAD"
"TNN"	"COAD"
"TRAT1"	"COAD"
"VCAM1"	"COAD"
"VSIG4"	"COAD"
"WISP1"	"COAD"
"WNT2"	"COAD"
"ZEB2"	"COAD"
"ZFPM2"	"COAD"
"ZNF423"	"COAD"
"AIF1"	"DLBC"
"AOC3"	"DLBC"
"ATP8B4"	"DLBC"
"C1QA"	"DLBC"
"C1QB"	"DLBC"
"C3AR1"	"DLBC"
"CCR1"	"DLBC"
"CD14"	"DLBC"
"CD200"	"DLBC"
"CD33"	"DLBC"
"CD86"	"DLBC"
"CDH5"	"DLBC"
"CH25H"	"DLBC"
"CLEC7A"	"DLBC"
"COL14A1"	"DLBC"
"CSF1R"	"DLBC"
"CXCL12"	"DLBC"
"CXCL14"	"DLBC"
"CXCL9"	"DLBC"
"DDR2"	"DLBC"
"ECM2"	"DLBC"
"EDNRA"	"DLBC"
"EGFL6"	"DLBC"
"ENPP2"	"DLBC"
"ERG"	"DLBC"
"FASLG"	"DLBC"
"FCGR2A"	"DLBC"
"FOXF1"	"DLBC"
"FRZB"	"DLBC"
"GIMAP5"	"DLBC"
"HDC"	"DLBC"
"IGSF6"	"DLBC"
"IL18R1"	"DLBC"
"IL1B"	"DLBC"
"ITGAM"	"DLBC"
"ITIH5"	"DLBC"
"ITM2A"	"DLBC"
"KDR"	"DLBC"
"LDB2"	"DLBC"
"MAF"	"DLBC"
"MS4A4A"	"DLBC"
"MS4A6A"	"DLBC"
"OLFML1"	"DLBC"
"PAPPA"	"DLBC"
"PDE2A"	"DLBC"
"PDGFRB"	"DLBC"
"PIK3R5"	"DLBC"
"PLXDC1"	"DLBC"
"PLXNC1"	"DLBC"
"PRKG1"	"DLBC"
"PTGER3"	"DLBC"
"RAMP3"	"DLBC"
"RGS4"	"DLBC"
"RSAD2"	"DLBC"
"RUNX1T1"	"DLBC"
"SAMSN1"	"DLBC"
"SCUBE2"	"DLBC"
"SERPING1"	"DLBC"
"SH2D1A"	"DLBC"
"SIGLEC1"	"DLBC"
"TFEC"	"DLBC"
"TLR2"	"DLBC"
"TLR7"	"DLBC"
"TNFSF4"	"DLBC"
"TRAT1"	"DLBC"
"VCAM1"	"DLBC"
"ZEB2"	"DLBC"
"ZFPM2"	"DLBC"
"ZNF423"	"DLBC"
"ABCA6"	"ESCA"
"ACTG2"	"ESCA"
"ADAMTS5"	"ESCA"
"AIF1"	"ESCA"
"AOC3"	"ESCA"
"APBB1IP"	"ESCA"
"ASPN"	"ESCA"
"ATP8B4"	"ESCA"
"BGN"	"ESCA"
"BTK"	"ESCA"
"C1QA"	"ESCA"
"C1QB"	"ESCA"
"C3AR1"	"ESCA"
"CCR1"	"ESCA"
"CD14"	"ESCA"
"CD163"	"ESCA"
"CD200"	"ESCA"
"CD248"	"ESCA"
"CD33"	"ESCA"
"CD86"	"ESCA"
"CD93"	"ESCA"
"CDH5"	"ESCA"
"CH25H"	"ESCA"
"CLEC7A"	"ESCA"
"COL14A1"	"ESCA"
"COL15A1"	"ESCA"
"COL1A2"	"ESCA"
"COL3A1"	"ESCA"
"COL5A3"	"ESCA"
"COL6A3"	"ESCA"
"COL8A2"	"ESCA"
"COX7A1"	"ESCA"
"CSF1R"	"ESCA"
"CXCL12"	"ESCA"
"CXCL9"	"ESCA"
"DCN"	"ESCA"
"DDR2"	"ESCA"
"DIO2"	"ESCA"
"ECM2"	"ESCA"
"EDNRA"	"ESCA"
"EMCN"	"ESCA"
"ENPP2"	"ESCA"
"ERG"	"ESCA"
"F13A1"	"ESCA"
"FAP"	"ESCA"
"FASLG"	"ESCA"
"FBLN2"	"ESCA"
"FCGR2A"	"ESCA"
"FCGR2B"	"ESCA"
"FMO1"	"ESCA"
"FOXF1"	"ESCA"
"FPR1"	"ESCA"
"GIMAP5"	"ESCA"
"GREM1"	"ESCA"
"HDC"	"ESCA"
"HGF"	"ESCA"
"IGF1"	"ESCA"
"IGSF6"	"ESCA"
"IL18R1"	"ESCA"
"IL1B"	"ESCA"
"ITGAM"	"ESCA"
"ITIH3"	"ESCA"
"ITIH5"	"ESCA"
"ITM2A"	"ESCA"
"KCNJ8"	"ESCA"
"KDR"	"ESCA"
"LDB2"	"ESCA"
"LMOD1"	"ESCA"
"LRRC32"	"ESCA"
"LUM"	"ESCA"
"LY86"	"ESCA"
"MAF"	"ESCA"
"MFAP5"	"ESCA"
"MS4A4A"	"ESCA"
"MS4A6A"	"ESCA"
"MSR1"	"ESCA"
"MXRA5"	"ESCA"
"NOX4"	"ESCA"
"OLFML1"	"ESCA"
"OLFML2B"	"ESCA"
"PAPPA"	"ESCA"
"PCDH12"	"ESCA"
"PDE2A"	"ESCA"
"PDGFRB"	"ESCA"
"PIK3R5"	"ESCA"
"PLXDC1"	"ESCA"
"PLXNC1"	"ESCA"
"PTGER3"	"ESCA"
"PTGIS"	"ESCA"
"RAMP3"	"ESCA"
"RARRES2"	"ESCA"
"RASGRP3"	"ESCA"
